location_name,date,pm25,pm10,pm1
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:39:18Z,5.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:44:58Z,8.64,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:50:38Z,8.35,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T08:56:18Z,5.22,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:01:57Z,4.91,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:07:37Z,4.64,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:13:17Z,4.86,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:19:00Z,12.33,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:24:40Z,4.96,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:30:20Z,4.41,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:36:00Z,11.79,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:41:40Z,13.99,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:47:20Z,6.53,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:52:59Z,5.65,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T09:58:39Z,5.89,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:04:19Z,20.19,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:09:59Z,9.15,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:15:39Z,5.13,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:21:19Z,4.87,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:26:59Z,5.55,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:32:39Z,13.18,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:38:19Z,8.55,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:43:58Z,10.63,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:49:38Z,6.65,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T10:55:18Z,7.0,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:00:58Z,10.35,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:06:38Z,4.96,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:12:17Z,6.26,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:17:57Z,6.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:23:37Z,5.29,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:29:17Z,6.34,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:34:57Z,5.84,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:40:37Z,6.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:46:17Z,6.46,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:51:56Z,7.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T11:57:36Z,5.03,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:03:16Z,5.01,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:08:59Z,6.79,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:14:39Z,4.69,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:20:19Z,5.4,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:25:59Z,7.82,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:31:39Z,5.77,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:37:18Z,5.67,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:42:58Z,7.5,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:48:38Z,6.26,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:54:18Z,5.11,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T12:59:58Z,5.18,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:05:37Z,6.46,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:11:17Z,5.32,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:16:57Z,4.63,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:22:36Z,8.11,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:28:16Z,8.25,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:33:56Z,6.86,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:39:36Z,5.18,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:45:16Z,5.29,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:50:55Z,5.11,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T13:56:35Z,4.97,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:02:15Z,5.55,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:07:54Z,4.7,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:13:34Z,6.75,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:19:14Z,15.32,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:24:53Z,8.91,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:30:33Z,5.3,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:36:13Z,11.39,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:41:52Z,16.16,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:47:32Z,5.5,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:53:11Z,4.8,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T14:58:51Z,6.58,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:04:30Z,6.17,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:10:10Z,9.61,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:15:49Z,4.73,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:21:29Z,5.42,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:27:08Z,9.29,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:32:48Z,7.66,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:38:27Z,4.46,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:44:06Z,4.68,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:49:46Z,4.56,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T15:55:25Z,4.62,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:01:04Z,4.81,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:06:47Z,5.13,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:12:26Z,4.53,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:18:05Z,4.39,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:23:45Z,4.53,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:29:24Z,4.6,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:35:03Z,4.64,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:40:43Z,4.72,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:46:22Z,5.07,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:52:01Z,4.27,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T16:57:41Z,4.24,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:03:20Z,5.77,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:08:59Z,5.07,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:14:39Z,4.6,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:20:18Z,4.41,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:25:57Z,5.3,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:31:36Z,4.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:37:16Z,5.12,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:42:55Z,4.42,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:48:34Z,4.37,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:54:13Z,4.68,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T17:59:53Z,4.23,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:05:32Z,4.61,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:11:11Z,3.99,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:16:51Z,4.59,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:22:30Z,4.4,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:28:09Z,4.91,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:33:48Z,4.46,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:39:28Z,5.04,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:45:07Z,6.47,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:50:46Z,4.77,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T18:56:25Z,4.48,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:02:05Z,4.41,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:07:44Z,4.31,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:13:26Z,4.06,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:19:05Z,3.99,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:24:45Z,3.95,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:30:24Z,4.53,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:36:03Z,4.14,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:41:43Z,4.07,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:47:22Z,4.7,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:53:01Z,4.12,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T19:58:44Z,4.4,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-18T20:04:23Z,4.33,,
